ID,Code,Name,Hex,Handle,Updated
"gid://shopify/Metaobject/399584624988","L","L","","pantone-color-xiacg5uf","false"
"gid://shopify/Metaobject/399783100764","name","code","hex","pantone-color-4ywv2ass","false"
"gid://shopify/Metaobject/399783133532","1","","","pantone-color-hn3w2ywl","false"
"gid://shopify/Metaobject/399783166300","1.1米*2.5cm","","","pantone-color-cvrtuhie","false"
"gid://shopify/Metaobject/399783199068","100*70*20","","","pantone-color-hiy4ijcl","false"
"gid://shopify/Metaobject/399783231836","1000ml","","","pantone-color-zuy6xljv","false"
"gid://shopify/Metaobject/399783264604","135*85*30cm","","","pantone-color-jumuniap","false"
"gid://shopify/Metaobject/399783297372","175*90*30cm","","","pantone-color-5hwih2un","false"
"gid://shopify/Metaobject/399783330140","180*132*30","","","pantone-color-sz11w8gn","false"
"gid://shopify/Metaobject/399783362908","190*120*30cm","","","pantone-color-4rvhv1qc","false"
"gid://shopify/Metaobject/399783395676","190*95*30","","","pantone-color-9gqab1so","false"
"gid://shopify/Metaobject/399783428444","1L","","","pantone-color-nh2qs2zx","false"
"gid://shopify/Metaobject/399783461212","2","","","pantone-color-sf6kk8ux","false"
"gid://shopify/Metaobject/399783493980","200007763:201336106","","","pantone-color-1xb5zo8o","false"
"gid://shopify/Metaobject/399783526748","2000ml","","","pantone-color-pcn8cnk1","false"
"gid://shopify/Metaobject/399783559516","2XL","","","pantone-color-jxzrlm2y","false"
"gid://shopify/Metaobject/399783592284","30pcs","","","pantone-color-4meok1ks","false"
"gid://shopify/Metaobject/399783625052","30x44x22cm","","","pantone-color-hmpobdaf","false"
"gid://shopify/Metaobject/399783657820","36x17x29cm","","","pantone-color-kvefsrpm","false"
"gid://shopify/Metaobject/399783690588","3XL","","","pantone-color-ooecwu1t","false"
"gid://shopify/Metaobject/399783723356","40*30cm","","","pantone-color-ualcwu0u","false"
"gid://shopify/Metaobject/399783756124","40cm","","","pantone-color-qsrasupu","false"
"gid://shopify/Metaobject/399783788892","40x16x32cm","","","pantone-color-hwhpanae","false"
"gid://shopify/Metaobject/399783821660","40x19x28cm","","","pantone-color-otnkqqch","false"
"gid://shopify/Metaobject/399783854428","40x20x28cm","","","pantone-color-gixij9ux","false"
"gid://shopify/Metaobject/399783887196","40x25x18cm","","","pantone-color-q09nee5y","false"
"gid://shopify/Metaobject/399783919964","40x26x30cm","","","pantone-color-cwxloxhu","false"
"gid://shopify/Metaobject/399783952732","40x27cm","","","pantone-color-nhomg1nr","false"
"gid://shopify/Metaobject/399783985500","40x28x18cm","","","pantone-color-xoiri1oe","false"
"gid://shopify/Metaobject/399784018268","42x26x23cm","","","pantone-color-pkmyhjqp","false"
"gid://shopify/Metaobject/399784051036","43x27x19cm","","","pantone-color-gfbwaftn","false"
"gid://shopify/Metaobject/399784083804","43x30x23cm","","","pantone-color-hezgxbjs","false"
"gid://shopify/Metaobject/399784116572","44x22x34cm","","","pantone-color-4qzdubdt","false"
"gid://shopify/Metaobject/399784149340","45*22*26.5cm","","","pantone-color-ndavklps","false"
"gid://shopify/Metaobject/399784182108","45x30x25","","","pantone-color-mfc7rykr","false"
"gid://shopify/Metaobject/399784214876","45x34x39cm","","","pantone-color-8txohlcw","false"
"gid://shopify/Metaobject/399784247644","4pcs","","","pantone-color-hnubdnla","false"
"gid://shopify/Metaobject/399784280412","4XL","","","pantone-color-ufvhebsd","false"
"gid://shopify/Metaobject/399784313180","50*40cm","","","pantone-color-rxwrjk1t","false"
